Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Depth,Kickoff UTC,Projection method
TE,16,Hunter Henry,NE,SEA,7.48,8.12,15,0.499,1,2026-09-10 00:20,market good: Bovada+Underdog
TE,17,Isaiah Likely,NYG,DAL,7.42,4.38,16,0.464,1,2026-09-14 00:20,market good: Bovada+Underdog
TE,18,Tyler Warren,IND,BAL,7.39,8.85,17,0.435,1,2026-09-13 17:00,market fair: Bovada+Underdog
TE,19,Jake Ferguson,DAL,NYG,6.55,8.65,14,0.468,1,2026-09-14 00:20,market good: Bovada+Underdog
TE,20,Cade Otton,TB,CIN,6.22,6.18,13,0.478,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,21,T.J. Hockenson,MIN,GB,6.2,5.82,13,0.477,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,22,Pat Freiermuth,PIT,ATL,6.07,5.96,12,0.506,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,23,AJ Barner,SEA,NE,5.97,6.86,12,0.498,1,2026-09-10 00:20,market good: Bovada+Underdog
TE,24,Ja'Tavion Sanders,CAR,CHI,5.82,3.59,10,0.582,4,2026-09-13 17:00,market td-estimate: Bovada
TE,25,Chig Okonkwo,WAS,PHI,5.76,5.65,13,0.443,1,2026-09-13 20:25,market good: Bovada+Underdog
DEF,1,Seattle Seahawks,SEA,NE,6.84,0.0,19,0.36,1,2026-09-10 00:20,80% salary prior; zero/low FPPG
DEF,2,Houston Texans,HOU,BUF,6.48,0.0,18,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,3,Jacksonville Jaguars,JAC,CLE,6.12,0.0,17,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,4,Baltimore Ravens,BAL,IND,5.76,0.0,16,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,5,Denver Broncos,DEN,KC,5.76,0.0,16,0.36,1,2026-09-15 00:15,80% salary prior; zero/low FPPG
DEF,6,Los Angeles Rams,LA,SF,5.76,0.0,16,0.36,1,2026-09-11 00:35,80% salary prior; zero/low FPPG
DEF,7,Minnesota Vikings,MIN,GB,5.76,0.0,16,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,8,Atlanta Falcons,ATL,PIT,5.4,0.0,15,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,9,Cleveland Browns,CLE,JAC,5.4,0.0,15,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,10,Los Angeles Chargers,LAC,ARI,5.4,0.0,15,0.36,1,2026-09-13 20:25,80% salary prior; zero/low FPPG
DEF,11,New England Patriots,NE,SEA,5.4,0.0,15,0.36,1,2026-09-10 00:20,80% salary prior; zero/low FPPG
DEF,12,Pittsburgh Steelers,PIT,ATL,5.4,0.0,15,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
DEF,13,New Orleans Saints,NO,DET,5.04,0.0,14,0.36,1,2026-09-13 17:00,80% salary prior; zero/low FPPG
