Position,Rank,Player,Team,Opponent,Estimated FP,Yahoo FPPG,Salary,FP / salary,Role,Role slot,Depth,Kickoff UTC,Projection method
WR,16,A.J. Brown,NE,SEA,11.81,11.58,26,0.454,starter,WR slot 1,1,2026-09-10 00:20,market good: Bovada+Underdog
WR,17,Tetairoa McMillan,CAR,CHI,11.45,10.39,25,0.458,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,18,Garrett Wilson,NYJ,TEN,11.4,11.64,25,0.456,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,19,Jameson Williams,DET,NO,11.37,11.02,27,0.421,starter,WR slot 2,2,2026-09-13 17:00,market good: Bovada+Underdog
WR,20,Ladd McConkey,LAC,ARI,11.17,8.98,24,0.465,starter,WR slot 1,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,21,Davante Adams,LA,SF,10.89,13.11,27,0.403,starter,WR slot 2,2,2026-09-11 00:35,market good: Bovada+Underdog
WR,22,Christian Watson,GB,MIN,10.73,11.45,22,0.488,starter,WR slot 1,1,2026-09-13 20:25,market good: Bovada+Underdog
WR,23,Emeka Egbuka,TB,CIN,10.58,9.66,20,0.529,starter,WR slot 1,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,24,Parker Washington,JAC,CLE,10.37,10.36,27,0.384,starter,WR slot 2,1,2026-09-13 17:00,market good: Bovada+Underdog
WR,25,Jaylen Waddle,DEN,KC,10.3,10.13,21,0.491,starter,WR slot 1,1,2026-09-15 00:15,market good 90% audit: Underdog
TE,1,Brock Bowers,LV,MIA,12.91,12.02,26,0.497,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,2,Trey McBride,ARI,LAC,11.62,14.88,28,0.415,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,3,Colston Loveland,CHI,CAR,10.61,9.08,22,0.482,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,4,Sam LaPorta,DET,NO,9.55,9.66,21,0.455,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,5,Tucker Kraft,GB,MIN,9.48,12.65,23,0.412,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,6,Tyler Warren,IND,BAL,9.45,8.85,17,0.556,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,7,Kyle Pitts Sr.,ATL,PIT,8.9,9.81,21,0.424,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,8,Juwan Johnson,NO,DET,8.89,8.32,17,0.523,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,9,George Kittle,SF,LA,8.58,11.18,21,0.409,starter,TE slot 10,1,2026-09-11 00:35,market good: Bovada+Underdog
TE,10,Travis Kelce,KC,DEN,8.54,9.13,15,0.569,starter,TE slot 10,1,2026-09-15 00:15,market good 90% audit: Underdog
TE,11,Mark Andrews,BAL,IND,8.15,6.29,14,0.582,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,12,Dalton Kincaid,BUF,HOU,7.99,9.59,16,0.499,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,13,Dallas Goedert,PHI,WAS,7.87,10.78,19,0.414,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,14,Harold Fannin Jr.,CLE,JAC,7.82,9.4,20,0.391,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,15,Brenton Strange,JAC,CLE,7.79,7.45,15,0.519,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,16,Hunter Henry,NE,SEA,7.52,8.12,15,0.501,starter,TE slot 10,1,2026-09-10 00:20,market good: Bovada+Underdog
TE,17,Isaiah Likely,NYG,DAL,7.22,4.38,16,0.451,starter,TE slot 10,1,2026-09-14 00:20,market good: Bovada+Underdog
TE,18,Dalton Schultz,HOU,BUF,7.21,7.64,14,0.515,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,19,Jake Ferguson,DAL,NYG,7.1,8.65,14,0.507,starter,TE slot 10,1,2026-09-14 00:20,market good: Bovada+Underdog
TE,20,Cade Otton,TB,CIN,6.66,6.18,13,0.512,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,21,T.J. Hockenson,MIN,GB,6.66,5.82,13,0.512,starter,TE slot 10,1,2026-09-13 20:25,market good: Bovada+Underdog
TE,22,AJ Barner,SEA,NE,5.94,6.86,12,0.495,starter,TE slot 10,1,2026-09-10 00:20,market good: Bovada+Underdog
TE,23,Pat Freiermuth,PIT,ATL,5.92,5.96,12,0.493,starter,TE slot 10,1,2026-09-13 17:00,market good: Bovada+Underdog
TE,24,Darren Waller,CAR,CHI,5.66,9.59,13,0.435,backup,TE slot 10,1,2026-09-13 17:00,market td-estimate 35%: Underdog
TE,25,Colby Parkinson,LA,SF,5.41,7.85,15,0.36,starter,TE slot 10,1,2026-09-11 00:35,market good 80% audit: Bovada+Underdog
